Title,Description,DA - Manuel Collab Brand,Post Type,Post Url,Scrappé - SN Brand,Scrappé - SN Has Paid Placement,DA - Key Account,DA - LookUp - Social Network,Problème (from Data Admin - Brand),Category (from Data Admin - Brand),Manuel - Annotation Checked,Script - Annotation Checked,Manuel - Collab Commerciale,Script - Collab Commerciale,Manuel - Autres marques,Script - Autres marques,Chosen Post
No title,"Mirage Blazer Mini Dress - Plum @FashionNova
Publicité",FASHIONNOVA,GraphSidecar,instagram.com/p/DSAt3oYjCWM/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,Bianca Fur Scuba Mini Dress - Pink @FashionNova publicité,FASHIONNOVA,GraphSidecar,instagram.com/p/DR5LuXODDA3/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,"MON NOUVEAU LIVRE 📕 L’APRÈS 🥹🙏🏻 EST DISPONIBLE DES MAINTENANT SUR AMAZON 

« Écrire m’a aidée à comprendre ce qui m’était arrivé. J’ai réalisé que j’avais passé des années à vouloir être parfaite — la compagne idéale, la femme solide — alors qu’à l’intérieur, je n’étais pas aussi heureuse que j’essayais de m’en persuader.
Ce livre n’est pas un règlement de comptes. Ce n’est pas non plus un récit de douleur. Au contraire. C’est un partage, une main tendue à celles et ceux qui traversent le même brouillard. Parce qu’on peut renaître. Parce qu’on peut apprendre à vivre sans se sentir vide. Parce qu’on peut découvrir qu’on ne s’est jamais sentie aussi entière que depuis qu’on vit seule. »

Disponible dès maintenant au format papier, uniquement sur Amazon.",,GraphVideo,instagram.com/p/DR2fVo9DP9R/,,false,carlamoreau_____,instagram,,,false,,None,None,,,false
No title,"✨ Jeu concours de fin d’année ! ✨ @kinesthetique13 
Pour célébrer cette belle fin d’année, nous avons décidé de vous gâter 🎁

Deux gagnant(e)s seront tiré(e)s au sort et remporteront :
🌟 Un pack routine visage Kinesthétique – valeur 300€
🌟 Un soin Hydrapeel ou un massage Kobido – valeur 180€

Pour participer, c’est très simple :
✅ Likez ce post
👤 Identifiez une personne avec qui vous aimeriez partager un moment bien-être
➡️ Suivez la page @kinesthetique13 
📲 Partagez la publication en story

📆 Tirage au sort le lundi 22 décembre 🎄

Bonne chance à tous !
L’équipe Kinesthétique 💪✨ publicité",KINESTETIQUE,GraphVideo,instagram.com/p/DRz4atnjMer/,,false,carlamoreau_____,instagram,,Cosmétiques / esthétique,false,,None,None,,,false
No title,"🎉 Bon plan du jour : TEMU à 0€… arnaque ou pas ? 🎉
Honnêtement, c’est LE bon plan du moment 😍🔥

Je teste, vous testez, ON TESTE TOUS !
Parce que oui, certains articles peuvent réellement tomber à 0€ pour les nouveaux utilisateurs 🤯🧡

💡 Comment ça marche ?
➡️Téléchargez l’appli TEMU
➡️Tapez mon code【dxf3632】dans la barre de recheche
➡️Obtiens TOUS les articles jusqu’à 0€ si tu es nouvel utilisateur de l’application !

🎁 Nouveaux utilisateurs de l’app avec commandes éligibles uniquement | CGV applicables @temu_france 

Alors, vous tentez l’expérience ? 👀✨
Dites-moi ce que vous allez choisir ! 🛍️💛 publicité",TEMU,GraphVideo,instagram.com/p/DRuqwl7DMdI/,temu_france,true,carlamoreau_____,instagram,"Pollution,Fast fashion,Travail des enfants",Vente à distance,false,,None,None,,,false
No title,"✨ HALARA Black Friday continue ! ✨
J’ai trouvé le pantalon parfait 🤍
Ultra confortable, flatteur, et idéal pour toutes les silhouettes… HALARA a encore frappé 🔥
Si vous cherchez un pantalon qui sculpte, maintient et reste hyper agréable à porter toute la journée, foncez !
🎁 Codes promos exclusifs à l’occasion du Black Friday:
	•	–50 € dès 159 € d’achat avec le code ✅carla99✅ (Valable sur tous les produits, du 26 nov. au 3 déc.)
	•	10 € offerts dès 99 € d’achat avec le code carla99 (Valable sur tous les produits.)
	•	–20 % avec le code 🎀carlam11🎀 (Non cumulable avec d’autres promotions.)
@halara_official @halara_france 
#halara_fr #halara #halarapantalon #halarablackfriday Publicité",HALARA,GraphVideo,instagram.com/p/DRkY8F_jMXQ/,halara_france,true,carlamoreau_____,instagram,,Fast fashion,false,,None,None,,,false
No title,"@FashionNova
In The City leatherette skirt and skirt set - Bordeaux/combiné
Publicité",FASHIONNOVA,GraphVideo,instagram.com/p/DRfUKTBDOc7/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,"🖤 Black Friday🖤
Trop contente de vous montrer mon jean Halara 😍
Et pour le Black Friday, Halara vous gâte avec deux offres exclusives :
✨ 10 € offerts dès 99 € d’achat avec le code 🎀carla99 🎀(valable sur tous les produits)
✨ -20 % avec le code ✨carlam11✨ (non cumulable avec d’autres promotions)🫶🏻 publicité 

@halara_official @halara_france
#halara_fr #halara #halarajean",HALARA,GraphVideo,instagram.com/p/DRaD_C9DL74/,halara_france,true,carlamoreau_____,instagram,,Fast fashion,false,,None,None,,,false
No title,"Mon nouvel indispensable pour travailler dans de bonnes conditions ✨
La chaise HBADA @hbada_officila m’accompagne au quotidien : design, confortable et parfaitement adaptée aux longues journées devant l’ordi.
L’efficacité, ça commence par un bon setup 🤍 
Découvrez votre HBADA en cliquant sur le lien dans ma bio ! Utilisez mon code promo pour bénéficier d’une réduction supplémentaire de 5% !
Offre spéciale Black Friday HBADA
Économisez jusqu’à 330 € !
Achetez maintenant pour tenter de gagner une place gratuite et profiter d’autres avantages exclusifs !
#HABADA#BlackFriday#HbadaE3 #OfficeChair #ErgonomicChair

Lien du site : https://bit.ly/4oOQ1Nn et réduction disponible avec mon code « 🎀CARLAHBADA 🎀»
Lien du produit sur Amazon :  https://bit.ly/4o9zrXl et réduction disponible avec mon code « 🏠E3WPCARLA 🏠» publicité",HBADA,GraphVideo,instagram.com/p/DRSXVl_DBWl/,,false,carlamoreau_____,instagram,,Mobilier,false,,None,None,,,false
No title,"Petit moment brunch comme je les adore 😍✨ @chez.gaston.official 
J’ai testé Chez Gaston dans le 11e et franchement… trop belle surprise !
Le brunch à 24,50€ est super complet, tout est frais et l’ambiance est hyper chaleureuse.
Un vrai spot qui fait du bien, simple et gourmand comme j’aime 🥐🤍
Si vous cherchez une nouvelle adresse à tester, foncez les yeux fermés ✨
📍 Chez Gaston – 112, boulevard Richard Lenoir 75011 Paris
👉 @chez.gaston.official *invitation",chez.gaston.official,GraphVideo,instagram.com/p/DRIKOqxDHB6/,,false,carlamoreau_____,instagram,,FOOD,false,,None,None,,,false
No title,"✨ Instant cocooning avec mon masque au collagène @biodance_eu @biodance_global 🌿
J’adore ce moment détente il repulpe la peau, lisse les traits et donne un vrai coup d’éclat 💆🏼‍♀️💖
Franchement, ma peau dit merci après chaque utilisation 😍
🛍️ Vous pouvez le retrouver directement chez @sephorafrance, hyper pratique 💄
Et pour les plus malines… le Black Friday arrive bientôt chez @amazonfr 👀🖤
C’est le moment parfait pour faire vos stocks ✨ collaboration rémunérée*",BIODANCE,GraphVideo,instagram.com/p/DQ9t4THjK9s/,,false,carlamoreau_____,instagram,,Cosmétiques / esthétique,false,,None,None,,,false
No title,"✨ Coup d’éclat garanti au @bodyminute.bonneveine 🍊
J’ai testé le soin Vitaminute C++ : en 25 min, ma peau est plus lisse, lumineuse et uniforme 💛
Un vrai boost de vitamine C (79 % !) pour réveiller l’éclat du teint 🤩
💆🏼‍♀️Accueil au top, pas besoin de RDV, et seulement 25€ !
Je viens chaque mois, parfois pour le soin facialiste à 14,90€ mon petit rituel cocooning 💙
Avec plus de 500 instituts Bodyminute partout en France, il y en a forcément un près de chez vous 💕 @bodyminuteofficiel #collaborationcommerciale",BODYMINUTE,GraphVideo,instagram.com/p/DQuSELhDDcZ/,,false,carlamoreau_____,instagram,,Cosmétiques / esthétique,false,,None,None,,,false
No title,"🔥 Temu Haul à 0€ 🔥 
Vous ne rêvez pas ! Téléchargez l’appli TEMU et tapez mon code **dyn7556** dans la barre de recherche pour obtenir TOUS vos articles à 0€ ! 🎉 
🎁 Offres réservées aux nouveaux utilisateurs de l’app avec commandes éligibles. CGV applicables. 

👉 Ne manquez pas cette opportunité incroyable ! 
🔗 Retrouvez le lien ici : [Biolink](https://app.temu.com/k/edwgfngba22) publicité",TEMU,GraphVideo,instagram.com/p/DQryT5dDLvO/,shoptemu,true,carlamoreau_____,instagram,"Pollution,Fast fashion,Travail des enfants",Vente à distance,false,,None,None,,,false
No title,"Paris me voilà ! ✨
Dress by @ohpolly 👗 *partage spontané",,GraphSidecar,instagram.com/p/DQmwuiejId2/,,false,carlamoreau_____,instagram,,,false,,None,None,,,false
No title,"C’est Black Friday avant l’heure chez @sheinfrance_ 🎁🔥

Choix maxi, prix mini pour la fin d’année! 🛍️😍
Recherchez “MQVJ2 ou 983KL” sur SHEIN et utilisez mon code “25PSCARLA” pour profiter de jusqu’à 75% de réduction ! (Sur une sélection d’articles uniquement du 28/11/2025 au 07/12/2025)

Retrouvez ma sélection sur les différentes boutiques du site : SHEIN Unity, Knit Mix, Sunnyshic, SHEIN ICON et pleins d’autres .. ❤️

#SHEINGrossesRemises #SHEINBlackFriday #SHEINsaveinstyle

Collaboration commerciale rémunérée 

@agenceamstramgram",SHEIN,GraphVideo,instagram.com/p/DQcW9ZrjBA8/,,false,carlamoreau_____,instagram,"Fast fashion,Pollution,Travail des enfants,Travail forcé",Fast fashion,false,,None,None,,,false
No title,"@FashionNova
Carmen Strapless Satin Gown - Burgundy Publicité",FASHIONNOVA,GraphVideo,instagram.com/p/DQM4Y-9DCLQ/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,WEDDING DAY ✨💍 Mise en beauté par @valentinaa.mua 💄et @la_beaute_dilana 👩‍🦳 combinaison by @nadinemerabi #collaboration,NADINE MERABI,GraphSidecar,instagram.com/p/DQKHEQbDPmb/,,false,carlamoreau_____,instagram,,Vêtements,false,,None,None,,,false
No title,@FashionNova Minnie Polka Dot Bubble Mini Dress - White/Black publicité,FASHIONNOVA,GraphVideo,instagram.com/p/DQFJxBtDf2t/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,@FashionNova 👉🏻Call My Line Pinstripe Mini Shirt Dress - White publicité,FASHIONNOVA,GraphImage,instagram.com/p/DQCtTxCjAYy/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,@FashionNova Dahlia Bandage Mini Dress - White publicité,FASHIONNOVA,GraphSidecar,instagram.com/p/DP64d_uDGWq/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,@FashionNova Sophie Lace Waist Satin Maxi Dress - Blush publicité,FASHIONNOVA,GraphSidecar,instagram.com/p/DP4YDw0jEQ7/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,"@FashionNova
Girl Of Your Dreams Gown - Taupe/combo
Publicité",FASHIONNOVA,GraphVideo,instagram.com/p/DP1zkGeDB2z/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,"DES SOUVENIRS POUR TOUJOURS 🥹💗🎀 
Merci du fond du cœur à tous les prestataires pour ce décor de rêve 💖
Grâce à vous, l’anniversaire de ma princesse a été tout simplement parfait 🌈🎉

Décoration 🎈: @madecoxxl 
Activité spa 🧖‍♀️ : @comme_t_y_es_belle 
Mascotte : @mymascotte 
Cocktails 🍸 : @south_mixology_events 
Traiteur : @h.brunchhh 
Château 🏰 : @mffactory_marseille @loisirsmidi @eventconceptcreation 
Gâteau 🎂 : @chez_jo_et_yo 
Glace🍦 : @frozen.ofb 
Salle de fête : @levento_receptions 
Photobooth : @mister.photobooth 
Dj 🎶 : @deejayfoued 
Et biensur d’avoir capturé ces meilleurs moments🥹 
Photographe : @melina.couzidakis.photographe 
Vidéaste : @nindofilms #collaboration",NINDO FILMS,GraphSidecar,instagram.com/p/DPzHL5ojJxL/,,false,carlamoreau_____,instagram,,Divertissement,false,,None,None,,,false
No title,"🥐✨ Brunch time à Paris !
J’ai découvert une vraie pépite : le @cafedutemple , un lieu trop cosy dans le 11e avec une formule brunch à 25€ qui vaut clairement le détour 😍
Tout est frais, gourmand et super copieux bref, le spot parfait pour un dimanche entre amis ou en famille ☺️
📍 Café du Temple 14, rue du Faubourg du Temple, 75011 Paris
#BrunchParis #CaféDuTemple #Paris11 #BrunchLovers #CarlaMoreau #Foodie #BrunchTime #ParisFood Invitation *",cafedutemple,GraphVideo,instagram.com/p/DPweJbSDBST/,,false,carlamoreau_____,instagram,,FOOD,false,,None,None,,,false
No title,"🎁 Unboxing SHEIN Home Calendrier de l’avent ! 🎁 @sheinfrance_

Rendez-vous chaque jour à partir de 18h sur le site français de SHEIN et recherchez « SHEIN HOME » pour découvrir ce calendrier de l’Avent en édition limitée, disponible au prix incroyable de 23,99 euros (valeur réelle : 150 euros) ! Dépêchez-vous ! Quantités limitées, premiers arrivés, premiers servis !

La référence du calendrier sur le site : sh25070752886356923

 @sheinofficial

#SHEINcalendrierdelavent #SHEINhome

Collaboration commerciale rémunérée

@agenceamstramgram",SHEIN,GraphVideo,instagram.com/p/DPuALIVDFwm/,,false,carlamoreau_____,instagram,"Fast fashion,Pollution,Travail des enfants,Travail forcé",Fast fashion,false,,None,None,,,false
No title,HAPPY HALLOWEEN 🎃 BY @provenceevenements #collaboration,provenceevenements,GraphVideo,instagram.com/p/DPt4DxODH-r/,,false,carlamoreau_____,instagram,,Divertissement,false,,None,None,,,false
No title,"HALLOWEEN 2025 🎃 DÉCOR SURRÉALISTE BY @provenceevenements 
MAKE UP 💄: @valentinaa.mua collaboration*",provenceevenements,GraphSidecar,instagram.com/p/DPtp1UijIgm/,,false,carlamoreau_____,instagram,,Divertissement,false,,None,None,,,false
No title,"✨ Confort et élégance réunis ✨
Je porte le Halara Flex Pantalon Tailleur Taille Haute Plissé une coupe parfaite, un tissu ultra doux et des poches latérales pratiques 😍
Idéal pour le bureau, un brunch ou une sortie chic, il allie style, confort et flexibilité 🖤
@halara_official @halara_france
10 € offerts dès 99 € d’achat avec le code 💗carla88💗 (valable sur tous les produits)
-20 % de réduction avec le code✅ carlam10✅ (non cumulable avec d’autres promotions)
Ces codes ne sont pas disponibles avec d’autres offres en cours.
#halara_fr #halara #halarapantalon
Crois-moi, une fois que tu l’essaies, tu ne veux plus le quitter 😍 publicité",HALARA,GraphVideo,instagram.com/p/DPrSI8djFhG/,halara_france,true,carlamoreau_____,instagram,,Fast fashion,false,,None,None,,,false
No title,"6 ans déjà… 💕
6 ans de rires, de câlins, de malice et de bonheur pur.
Tu fais briller ma vie chaque jour un peu plus, ma petite lumière ✨Merci du fond du cœur à tous les prestataires pour ce décor de rêve 💖
Grâce à vous, l’anniversaire de ma princesse a été tout simplement parfait 🌈🎉

Décoration 🎈: @madecoxxl 
Activité spa 🧖‍♀️ : @comme_t_y_es_belle 
Mascotte : @mymascotte 
Cocktails 🍸 : @south_mixology_events 
Traiteur : @h.brunchhh 
Château 🏰 : @mffactory_marseille @loisirsmidi @eventconceptcreation 
Gâteau 🎂 : @chez_jo_et_yo 
Glace🍦 : @frozen.ofb 
Salle de fête : @levento_receptions 
Photobooth : @mister.photobooth 
Dj 🎶 : @deejayfoued 
Et merci biensur d’avoir capturé ces meilleurs moments🥹 
Photographe : @melina.couzidakis.photographe 
Vidéaste : @nindofilms #collaborationcommerciale",NINDO FILMS,GraphVideo,instagram.com/p/DPoyWDpDMI4/,,false,carlamoreau_____,instagram,,Divertissement,false,,None,None,,,false
No title,"@FashionNova
Set The Bar Short Sleeve Dress - Black Publicité",FASHIONNOVA,GraphSidecar,instagram.com/p/DPj0b8zjCkk/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,"✨ Le jean parfait existe… et je l’ai trouvé chez @halara_official @halara_france ! 😍 #publicite 
Confortable, stylé et facile à porter en toutes occasions :
🌿 Balade en ville
☕️ Brunch entre amis
💕Sortie détente le week-end
🎁Profitez de mes codes promos exclusifs :
🎀carlam77 🎀→ 10 € offerts dès 99 € d’achat (valable sur tous les produits)
✨ ✅carlam9 ✅→ -20 % de réduction (non cumulable avec d’autres promotions)
Ne manquez pas cette occasion, commandez vite votre jean Halara et faites-vous plaisir avec mon code ! 💕
#halarajean #halara_fr #halara publicité",HALARA,GraphVideo,instagram.com/p/DO36_f1DMWw/,halara_france,true,carlamoreau_____,instagram,,Fast fashion,false,,None,None,,,false
No title,No caption,,GraphSidecar,instagram.com/p/DOofxD6jL7A/,,false,carlamoreau_____,instagram,,,false,,None,None,,,false
No title,"🤎LE WORK BLAZER PARFAIT signé Halara🤎
Confort + style = combo gagnant.
✨Coupe courte qui sublime la silhouette
✨Ultra-élastique pour bouger librement
✨Plis élégants pour une touche chic
C’est LA veste à avoir pour un look pro ou casual sans compromis.
💼 Du bureau à tes sorties, elle s’adapte à tout.
Et en ce moment, tu peux craquer avec mes codes 🥰
🎁 -20 % avec le code : ✅carlam9✅ (hors promos)
🎁 10 € offerts dès 99 € d’achat avec le code : ✅carlam77✅
 @halara_official @halara_france #publicité 
#halara #halarablazer #halara pantalon #halarafrance #blazerlook #styléetconfortable #workwearchic",HALARA,GraphVideo,instagram.com/p/DOlqIfuDKEW/,halara_france,true,carlamoreau_____,instagram,,Fast fashion,false,,None,None,,,false
No title,"@FashionNova
Imani Cut Out Maxi Dress - Green Publicité",FASHIONNOVA,GraphSidecar,instagram.com/p/DOWb0cyDEBm/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,"🥐✨ ALERTE BRUNCH PARISIEN ! ✨@cafe.le.bistrot
Si tu cherches LE spot cosy pour bruncher dans le 10e… ne cherche plus ! 😍
📍Café le Bistrot – 32, boulevard Magenta, Paris 10
Ici, c’est ambiance chaleureuse, déco canon et surtout… des produits 100 % frais dans l’assiette 🍽️
Au menu de la formule à 25,50 € ?
Du goût🥑
De la générosité🥰
Et un brunch qui régale VRAIMENT 🍰🧇🍓
💬 Alors, qui ramènes-tu pour ton prochain brunch ? 😋
#ParisBrunch #BrunchTime #CaféLeBistrot #BrunchParisien #10eArrondissement #BrunchAddict #FoodieParis invitation",cafe.le.bistrot,GraphVideo,instagram.com/p/DOT0M7CjJp3/,,false,carlamoreau_____,instagram,,FOOD,false,,None,None,,,false
No title,No caption,,GraphSidecar,instagram.com/p/DOJi2RWDHN8/,,false,carlamoreau_____,instagram,,,false,,None,None,,,false
No title,"@FashionNova
Caprina ruffled short dress - Off-white
Eleni handbag - Gold
Cleodora poplin mini dress - Black
Mules Ayla - black Publicité",FASHIONNOVA,GraphVideo,instagram.com/p/DOHFk5MjBZz/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,"@FashionNova
Noble Floral Mini Dress - Blue/combo Publicité",FASHIONNOVA,GraphSidecar,instagram.com/p/DOBsI86jLJE/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,"🍂 Je porte l’automne sur moi!

Halara s’associe pour la toute première fois à l’artiste Yukiko Noritake pour une collection inédite où l’art rencontre la mode. 🎨🤎

Chaque pièce est pensée comme une œuvre à part entière : des coupes iconiques, des imprimés inspirés de la nature, et un style ultra modulable pour aller bosser, se balader, faire du sport… ou filer direct à une expo. 🍁🌾

🤎Ici, je vous montre comment porter cette tenue au quotidien. On mixe, on superpose, on joue avec les matières et les contrastes… parce que s’habiller, c’est aussi s’exprimer.

📦 La collection Halara × Yukiko est déjà en ligne sur halara.com allez vite découvrir et shopper vos pièces coup de cœur, elles partent vite !
\#Halara #Halarafr #HalaraXYukiko #ArtSurMoi
🩵🤎🍂🦋🪵🌰 publicité",HALARA,GraphVideo,instagram.com/p/DN_JVaQjC3k/,,false,carlamoreau_____,instagram,,Fast fashion,false,,None,None,,,false
No title,"@FashionNova

Backless skirt and hault Amber set - Mint Publicité",FASHIONNOVA,GraphSidecar,instagram.com/p/DN-9elkjBQD/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,"@FashionNova
Amandine Satin Maxi Dress - Cream Publicité",FASHIONNOVA,GraphVideo,instagram.com/p/DN8yQAIjHQ2/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,"✨ BACK TO SCHOOL ✨

Toujours matchy-matchy avec Ruby ❤️ 

Vous pouvez trouver nos magnifiques tenues à travers les différentes boutiques du site @sheinfrance_ : SHEIN ICON, ModeFlare Wear, SHEIN EVRYDAY Kids, SHEIN SLAYR KIDS, Slaydiva et pleins d’autres .. 

Profitez de -15% de réduction dès 29€ d’achats ou -20% dès 69€ d’achats avec mon code « KIDCARLAM » 😍

Tapez SHEIN ENFANT sur le site pour profiter de jusqu’à -70% et autres promos sur les articles sélectionnés.

#SHEINModeEnfant #Backtoschool

#collaboration 

@agenceamstramgram",SHEIN,GraphVideo,instagram.com/p/DN0xPOtWD6x/,,false,carlamoreau_____,instagram,"Fast fashion,Pollution,Travail des enfants,Travail forcé",Fast fashion,false,,None,None,,,false
No title,"✨ Vivre ces vacances chaque jour de notre vie ✨ Si on gardait en nous cette légèreté, ces sourires,
ce goût de liberté qui rend tout plus beau… 🌸",,GraphVideo,instagram.com/p/DNvgGZgWIDK/,,false,carlamoreau_____,instagram,,,false,,None,None,,,false
No title,"@FashionNova
 Robe courte rayée « Journée à la foire » - Rouge/combiné

Sac à main Eleni - Doré Publicité",FASHIONNOVA,GraphVideo,instagram.com/p/DNqbvohs1Hu/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,@FashionNova Robe longue en mousseline Leilani - Lavande/combo👗publicité,FASHIONNOVA,GraphVideo,instagram.com/p/DNlWeCqsgGP/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,"@FashionNova
Mini-robe en lin Tropical Oasis - Jaune publicité",FASHIONNOVA,GraphSidecar,instagram.com/p/DNdnzFvsXCa/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
